Opt. Const. of B-Spline vs. nm
nm	n	k
666.501038	1.529741	-0.001662	
668.086914	1.529676	-0.001604	
669.672729	1.529612	-0.001546	
671.258423	1.529549	-0.001488	
672.844055	1.529486	-0.001429	
674.429565	1.529424	-0.001369	
676.015015	1.529363	-0.001309	
677.600403	1.529302	-0.001249	
679.185669	1.529243	-0.001187	
680.770874	1.529184	-0.001125	
682.355957	1.529126	-0.001063	
683.940979	1.529069	-0.001000	
685.525879	1.529012	-0.000936	
687.110718	1.528956	-0.000872	
688.695435	1.528901	-0.000807	
690.280151	1.528847	-0.000742	
691.864685	1.528793	-0.000676	
693.449158	1.528741	-0.000609	
695.033569	1.528688	-0.000542	
696.617859	1.528637	-0.000474	
698.202026	1.528587	-0.000405	
699.786194	1.528537	-0.000336	
701.370239	1.528487	-0.000266	
702.954102	1.528439	-0.000196	
704.537964	1.528391	-0.000124	
706.121704	1.528344	-0.000053	
707.705322	1.528298	0.000020	
709.288879	1.528252	0.000093	
710.872314	1.528208	0.000166	
712.455688	1.528163	0.000241	
714.038940	1.528120	0.000316	
715.622009	1.528077	0.000391	
717.205078	1.528035	0.000468	
718.788025	1.527994	0.000545	
720.370911	1.527953	0.000622	
721.953674	1.527913	0.000700	
723.536255	1.527873	0.000779	
725.118835	1.527835	0.000859	
726.701294	1.527797	0.000939	
728.283630	1.527759	0.001020	
729.865845	1.527722	0.001101	
731.447998	1.527686	0.001183	
733.030029	1.527651	0.001266	
734.611938	1.527616	0.001349	
736.193787	1.527582	0.001432	
737.775513	1.527548	0.001516	
739.357117	1.527515	0.001601	
740.938599	1.527483	0.001686	
742.520020	1.527451	0.001772	
744.101318	1.527419	0.001858	
745.682495	1.527388	0.001944	
747.263550	1.527358	0.002031	
748.844543	1.527328	0.002118	
750.425415	1.527299	0.002206	
752.006104	1.527270	0.002293	
753.586792	1.527241	0.002382	
755.167297	1.527214	0.002470	
756.747681	1.527186	0.002559	
758.328003	1.527159	0.002648	
759.908142	1.527133	0.002737	
761.488159	1.527107	0.002827	
763.068176	1.527081	0.002917	
764.648010	1.527056	0.003007	
766.227722	1.527031	0.003097	
767.807312	1.527006	0.003187	
769.386841	1.526982	0.003278	
770.966187	1.526958	0.003369	
772.545471	1.526935	0.003459	
774.124573	1.526912	0.003550	
775.703613	1.526890	0.003642	
777.282471	1.526868	0.003733	
778.861267	1.526846	0.003824	
780.439941	1.526824	0.003916	
782.018433	1.526803	0.004007	
783.596863	1.526782	0.004099	
785.175171	1.526762	0.004190	
786.753357	1.526741	0.004282	
788.331421	1.526721	0.004374	
789.909302	1.526702	0.004465	
791.487122	1.526682	0.004557	
793.064819	1.526663	0.004649	
794.642395	1.526645	0.004741	
796.219788	1.526626	0.004832	
797.797058	1.526608	0.004924	
799.374268	1.526590	0.005016	
800.951294	1.526572	0.005107	
802.528198	1.526555	0.005199	
804.105042	1.526537	0.005291	
805.681702	1.526520	0.005382	
807.258240	1.526504	0.005473	
808.834595	1.526487	0.005565	
810.410889	1.526471	0.005656	
811.987061	1.526455	0.005747	
813.563110	1.526439	0.005838	
815.138977	1.526423	0.005929	
816.714722	1.526408	0.006020	
818.290344	1.526393	0.006110	
819.865845	1.526378	0.006201	
821.441101	1.526363	0.006291	
823.016296	1.526348	0.006381	
824.591431	1.526334	0.006472	
826.166382	1.526319	0.006562	
